fid,adm3,adm3_code,adm2,adm2_code,adm1,adm1_code,pop,hh,area,health,schools,prov_elec,prov_poverty
"277",Mubangoene,MZ020803,Guija,MZ0208,Gaza,MZ02,"48508","9702","1216","3","0","46","35"
"278",Mucoduene,MZ031102,Morrumbene,MZ0311,Inhambane,MZ03,"69650","13930","2024","5","0","20","36"
"279",Mucojo,MZ010603,Macomia,MZ0106,Cabo Delgado,MZ01,"20474","4095","1117","0","0","15","54"
"280",Mucuali,MZ070602,Larde,MZ0706,Nampula,MZ07,"42221","8444","1109","1","0","23","45"
"281",Muculoene,MZ071702,Muecate,MZ0717,Nampula,MZ07,"26110","5222","978","1","0","23","45"
"282",Muecate,MZ071703,Muecate,MZ0717,Nampula,MZ07,"80262","16052","1908","4","0","23","45"
"283",Mueda,MZ011203,Mueda,MZ0112,Cabo Delgado,MZ01,"55426","11085","1148","1","0","15","54"
"284",Muembe,MZ081602,Muembe,MZ0816,Niassa,MZ08,"36717","7343","1705","3","0","16","47"
"285",Mugazine,MZ050603,Matutuine,MZ0506,Maputo,MZ05,"5873","1175","431","1","0","96","14"
"286",Mugeba,MZ111402,Mocuba,MZ1114,Zambezia,MZ11,"137856","27571","2107","4","0","13","53"
"287",Muidumbe,MZ011303,Muidumbe,MZ0113,Cabo Delgado,MZ01,"32174","6435","1096","4","0","15","54"
"288",Muipite,MZ081801,Nipepe,MZ0818,Niassa,MZ08,"12272","2454","1057","1","0","16","47"
"289",Muite,MZ071003,Mecuburi,MZ0710,Nampula,MZ07,"47504","9501","1498","2","0","23","45"
"290",Mukumbura,MZ100903,Magoe,MZ1009,Tete,MZ10,"87576","17515","3572","2","0","15","48"
"291",Mulevala,MZ111901,Mulevala,MZ1119,Zambezia,MZ11,"122727","24545","2701","7","0","13","53"
"292",Mulima,MZ090303,Chemba,MZ0903,Sofala,MZ09,"31173","6235","1599","2","0","38","40"
"293",Mungari,MZ040403,Guro,MZ0404,Manica,MZ04,"26389","5278","3241","4","0","22","33"
"294",Munhamade,MZ111003,Lugela,MZ1110,Zambezia,MZ11,"22425","4485","1650","6","0","13","53"
"295",Muoha,MZ041002,Sussundenga,MZ0410,Manica,MZ04,"38923","7785","928","0","0","22","33"
"296",Murraca,MZ090202,Caia,MZ0902,Sofala,MZ09,"36713","7343","682","4","0","38","40"
"297",Murrebue,MZ010702,Mecufi,MZ0107,Cabo Delgado,MZ01,"18512","3702","615","1","0","15","54"
"298",Murrupula,MZ071802,Murrupula,MZ0718,Nampula,MZ07,"148982","29796","1958","3","0","23","45"
"299",Mutivasse,MZ072202,Rapale,MZ0722,Nampula,MZ07,"31009","6202","810","2","0","23","45"
"300",Mutuali,MZ070803,Malema,MZ0708,Nampula,MZ07,"70212","14042","2007","2","0","23","45"
"301",Muxungue,MZ090503,Chibabava,MZ0905,Sofala,MZ09,"108184","21637","3822","17","0","38","40"
"302",Muze,MZ101501,Zumbu,MZ1015,Tete,MZ10,"65002","13000","3320","1","0","15","48"
"303",NCumpe,MZ011404,Namuno,MZ0114,Cabo Delgado,MZ01,"36163","7233","721","1","0","15","54"
"304",NGapa,MZ011204,Mueda,MZ0112,Cabo Delgado,MZ01,"36895","7379","4493","3","0","15","54"
"305",Naburi,MZ112302,Pebane,MZ1123,Zambezia,MZ11,"98364","19673","3508","4","0","13","53"
"306",Nacala,MZ071901,Nacala,MZ0719,Nampula,MZ07,"292277","58455","319","14","7","23","45"
"307",Nacala-A-Velha,MZ072002,Nacala-A-Velha,MZ0720,Nampula,MZ07,"79055","15811","845","5","0","23","45"
"308",Nacaroa,MZ072102,Nacaroa,MZ0721,Nampula,MZ07,"74506","14901","934","2","0","23","45"
"309",Nacumua,MZ081502,Metarica,MZ0815,Niassa,MZ08,"14990","2998","2246","2","0","16","47"
"310",Nairoto,MZ011104,Montepuez,MZ0111,Cabo Delgado,MZ01,"15657","3131","12080","1","0","15","54"
"311",Nairrubi,MZ080803,Majune,MZ0808,Niassa,MZ08,"10306","2061","3071","2","0","16","47"
"312",Nalazi,MZ020804,Guija,MZ0208,Gaza,MZ02,"20140","4028","2215","2","0","46","35"
"313",Namaacha,MZ050802,Namaacha,MZ0508,Maputo,MZ05,"44465","8893","1373","6","2","96","14"
"314",Namacurra,MZ112002,Namacurra,MZ1120,Zambezia,MZ11,"146458","29292","1376","7","2","13","53"
"315",Namaita,MZ072203,Rapale,MZ0722,Nampula,MZ07,"116847","23369","822","4","0","23","45"
"316",Namanhumbir,MZ011105,Montepuez,MZ0111,Cabo Delgado,MZ01,"34474","6895","654","0","0","15","54"
"317",Namanjavira,MZ111403,Mocuba,MZ1114,Zambezia,MZ11,"88074","17615","3016","2","0","13","53"
"318",Namapa,MZ070302,Erati,MZ0703,Nampula,MZ07,"150390","30078","2259","3","0","23","45"
"319",Namaponda,MZ070104,Angoche,MZ0701,Nampula,MZ07,"43178","8636","740","2","0","23","45"
"320",Namarroi,MZ112101,Namarroi,MZ1121,Zambezia,MZ11,"118858","23772","1373","6","0","13","53"
"321",Nametil,MZ071304,Mogovolas,MZ0713,Nampula,MZ07,"173354","34671","911","2","2","23","45"
"322",Namialo,MZ070904,Meconta,MZ0709,Nampula,MZ07,"75004","15001","348","1","0","23","45"
"323",Namige,MZ071201,Mogincual,MZ0712,Nampula,MZ07,"21475","4295","848","2","0","23","45"
"324",Namina,MZ071004,Mecuburi,MZ0710,Nampula,MZ07,"50283","10057","776","2","0","23","45"
"325",Namiroa,MZ070303,Erati,MZ0703,Nampula,MZ07,"71591","14318","1528","2","0","23","45"
"326",Namogelia,MZ010305,Chiure,MZ0103,Cabo Delgado,MZ01,"34638","6928","712","0","0","15","54"
"327",Namuno,MZ011405,Namuno,MZ0114,Cabo Delgado,MZ01,"109249","21850","1239","1","0","15","54"
"328",Nangade,MZ011502,Nangade,MZ0115,Cabo Delgado,MZ01,"60846","12169","1940","4","0","15","54"
"329",Nanhupo Rio,MZ071305,Mogovolas,MZ0713,Nampula,MZ07,"54684","10937","719","1","0","23","45"
"330",Nante,MZ111102,Maganja Da Costa,MZ1111,Zambezia,MZ11,"91180","18236","1325","5","0","13","53"
"331",Nauela,MZ110102,Alto Molocue,MZ1101,Zambezia,MZ11,"289360","57872","2601","5","0","13","53"
"332",Ndelane,MZ050604,Matutuine,MZ0506,Maputo,MZ05,"3231","646","162","2","0","96","14"
"333",Negomano,MZ011205,Mueda,MZ0112,Cabo Delgado,MZ01,"3577","715","3023","1","0","15","54"
"334",Netia,MZ071503,Monapo,MZ0715,Nampula,MZ07,"202573","40515","1040","5","0","23","45"
"335",Nguawala,MZ040702,Macossa,MZ0407,Manica,MZ04,"3961","792","2259","1","0","22","33"
"336",Nguzene,MZ020603,Chongoene,MZ0206,Gaza,MZ02,"11523","2305","434","4","0","46","35"
"337",Nhacafula,MZ041102,Tambara,MZ0411,Manica,MZ04,"9677","1935","1268","1","0","22","33"
"338",Nhacolo,MZ041103,Tambara,MZ0411,Manica,MZ04,"34906","6981","1037","4","0","22","33"
"339",Nhamadze,MZ090802,Gorongosa,MZ0908,Sofala,MZ09,"54944","10989","2025","4","0","38","40"
"340",Nhamagua,MZ040703,Macossa,MZ0407,Manica,MZ04,"39774","7955","1697","1","0","22","33"
"341",Nhamassonge,MZ040404,Guro,MZ0404,Manica,MZ04,"13631","2726","1406","1","0","22","33"
"342",Nhamatanda,MZ091301,Nhamatanda,MZ0913,Sofala,MZ09,"267777","53555","2467","17","5","38","40"
"343",Nhamayabue,MZ101303,Mutarara,MZ1013,Tete,MZ10,"59944","11989","1331","4","0","15","48"
"344",Nhampassa,MZ040103,Barue,MZ0401,Manica,MZ04,"58418","11684","1986","3","1","22","33"
"345",Nicoadala,MZ112201,Nicoadala,MZ1122,Zambezia,MZ11,"181705","36341","2763","10","0","13","53"
"346",Nihessiue,MZ071803,Murrupula,MZ0718,Nampula,MZ07,"36258","7252","564","2","0","23","45"
"347",Nipepe,MZ081802,Nipepe,MZ0818,Niassa,MZ08,"25715","5143","3943","6","0","16","47"
"348",Nova Mambone,MZ030301,Govuro,MZ0303,Inhambane,MZ03,"20409","4082","1682","3","0","20","36"
"349",Nsadzu,MZ100403,Chifunde,MZ1004,Tete,MZ10,"44525","8905","2585","2","0","15","48"
"350",Ntengo-Wa-Mbalame,MZ101401,Tsangano,MZ1014,Tete,MZ10,"220039","44008","1368","4","1","15","48"
"351",Ntlavene,MZ021003,Mabalane,MZ0210,Gaza,MZ02,"12713","2543","1748","2","0","46","35"
